2026-05-07 23:35:20,Unknown,2,Unknown Worker,VIOLATION,Helmet worn correctly,"Vest detected, but not worn properly"
2026-05-07 23:35:23,3,1,Worker_003,VIOLATION,No Helmet detected,"Vest detected, but not worn properly"
2026-05-07 23:35:25,Unknown,2,Unknown Worker,VIOLATION,No Helmet detected,Vest detected
2026-05-07 23:35:28,3,1,Worker_003,VIOLATION,No Helmet detected,Vest worn correctly
2026-05-07 23:35:31,Unknown,2,Unknown Worker,VIOLATION,No Helmet detected,Vest worn correctly
2026-05-07 23:35:33,3,1,Worker_003,VIOLATION,No Helmet detected,No Vest detected
2026-05-07 23:35:36,Unknown,2,Unknown Worker,VIOLATION,No Helmet detected,Vest detected
2026-05-07 23:35:38,3,1,Worker_003,VIOLATION,No Helmet detected,Vest detected
2026-05-07 23:35:41,Unknown,3,Unknown Worker,VIOLATION,No Helmet detected,Vest detected
2026-05-07 23:35:41,Unknown,2,Unknown Worker,VIOLATION,No Helmet detected,No Vest detected
2026-05-07 23:35:43,1,1,Worker_001,VIOLATION,No Helmet detected,"Vest detected, but not worn properly"
2026-05-07 23:35:46,Unknown,2,Unknown Worker,VIOLATION,No Helmet detected,No Vest detected
2026-05-07 23:35:47,3,3,Worker_003,VIOLATION,No Helmet detected,No Vest detected
2026-05-07 23:35:48,1,1,Worker_001,VIOLATION,No Helmet detected,Vest worn correctly
2026-05-07 23:35:52,Unknown,2,Unknown Worker,VIOLATION,No Helmet detected,No Vest detected
2026-05-07 23:35:53,1,1,Worker_001,VIOLATION,No Helmet detected,"Vest detected, but not worn properly"
2026-05-07 23:35:55,3,3,Worker_003,VIOLATION,No Helmet detected,No Vest detected
2026-05-07 23:35:57,Unknown,2,Unknown Worker,VIOLATION,No Helmet detected,No Vest detected
2026-05-07 23:35:58,1,1,Worker_001,VIOLATION,No Helmet detected,"Vest detected, but not worn properly"
2026-05-07 23:39:54,Unknown,1,Unknown Worker,VIOLATION,No Helmet detected,No Vest detected
2026-05-07 23:39:59,Unknown,1,Unknown Worker,VIOLATION,No Helmet detected,No Vest detected
2026-05-07 23:40:05,Unknown,1,Unknown Worker,VIOLATION,No Helmet detected,No Vest detected
2026-05-07 23:40:10,Unknown,1,Unknown Worker,VIOLATION,No Helmet detected,No Vest detected
2026-05-07 23:40:16,Unknown,1,Unknown Worker,VIOLATION,No Helmet detected,"Vest detected, not worn properly"
2026-05-07 23:40:16,Unknown,2,Unknown Worker,VIOLATION,No Helmet detected,No Vest detected
2026-05-07 23:40:21,Unknown,1,Unknown Worker,VIOLATION,No Helmet detected,"Vest detected, not worn properly"
2026-05-07 23:40:22,Unknown,2,Unknown Worker,VIOLATION,No Helmet detected,"Vest detected, not worn properly"
2026-05-07 23:40:26,Unknown,1,Unknown Worker,VIOLATION,No Helmet detected,"Vest detected, not worn properly"
2026-05-07 23:40:31,Unknown,1,Unknown Worker,VIOLATION,No Helmet detected,"Vest detected, not worn properly"
2026-05-07 23:40:34,Unknown,2,Unknown Worker,VIOLATION,No Helmet detected,No Vest detected
2026-05-07 23:40:36,Unknown,1,Unknown Worker,VIOLATION,No Helmet detected,No Vest detected
2026-05-07 23:40:42,Unknown,1,Unknown Worker,VIOLATION,No Helmet detected,No Vest detected
2026-05-07 23:40:47,Unknown,1,Unknown Worker,VIOLATION,No Helmet detected,No Vest detected
2026-05-07 23:40:52,Unknown,1,Unknown Worker,VIOLATION,No Helmet detected,No Vest detected
2026-05-07 23:40:54,Unknown,2,Unknown Worker,VIOLATION,No Helmet detected,No Vest detected
2026-05-07 23:40:54,Unknown,3,Unknown Worker,VIOLATION,No Helmet detected,No Vest detected
2026-05-07 23:40:58,Unknown,1,Unknown Worker,VIOLATION,No Helmet detected,Vest detected
2026-05-07 23:41:03,Unknown,1,Unknown Worker,VIOLATION,No Helmet detected,"Vest detected, not worn properly"
2026-05-07 23:41:13,Unknown,1,Unknown Worker,VIOLATION,No Helmet detected,No Vest detected
2026-05-07 23:41:13,Unknown,2,Unknown Worker,VIOLATION,No Helmet detected,No Vest detected
2026-05-07 23:43:02,Unknown,1,Unknown Worker,VIOLATION,No Helmet detected,No Vest detected
2026-05-07 23:50:48,Unknown,1,Unknown Worker,VIOLATION,No Helmet detected,No Vest detected
2026-05-07 23:50:53,Unknown,1,Unknown Worker,VIOLATION,No Helmet detected,Vest detected
2026-05-07 23:50:53,Unknown,2,Unknown Worker,VIOLATION,No Helmet detected,Vest detected
2026-05-07 23:50:58,1,1,Worker_001,VIOLATION,No Helmet detected,Vest worn correctly
2026-05-07 23:51:03,1,1,Worker_001,VIOLATION,No Helmet detected,"Vest detected, not worn properly"
2026-05-07 23:51:08,1,1,Worker_001,VIOLATION,Helmet worn correctly,"Vest detected, not worn properly"
2026-05-07 23:51:13,1,1,Worker_001,VIOLATION,Helmet worn correctly,"Vest detected, not worn properly"
2026-05-07 23:51:16,Unknown,2,Unknown Worker,VIOLATION,Helmet worn correctly,No Vest detected
2026-05-07 23:51:18,1,1,Worker_001,VIOLATION,No Helmet detected,No Vest detected
2026-05-07 23:54:13,Unknown,1,Unknown Worker,VIOLATION,No Helmet detected,Vest worn correctly
2026-05-07 23:54:18,Unknown,2,Unknown Worker,VIOLATION,No Helmet detected,Vest detected
2026-05-07 23:54:26,1,1,Worker_001,VIOLATION,Helmet worn correctly,"Vest detected, not worn properly"
2026-05-07 23:54:31,1,1,Worker_001,VIOLATION,No Helmet detected,Vest worn correctly
2026-05-07 23:54:31,Unknown,2,Unknown Worker,VIOLATION,No Helmet detected,No Vest detected
2026-05-07 23:54:31,Unknown,1,Unknown Worker,VIOLATION,Helmet worn correctly,"Vest detected, not worn properly"
2026-05-07 23:54:36,1,1,Worker_001,VIOLATION,No Helmet detected,Vest worn correctly
2026-05-07 23:54:39,Unknown,2,Unknown Worker,VIOLATION,"Helmet detected, not worn",Vest worn correctly
2026-05-07 23:54:39,Unknown,3,Unknown Worker,VIOLATION,No Helmet detected,Vest worn correctly
2026-05-07 23:54:41,1,1,Worker_001,VIOLATION,No Helmet detected,No Vest detected
2026-05-07 23:54:42,Unknown,2,Unknown Worker,VIOLATION,No Helmet detected,No Vest detected
2026-05-07 23:54:43,Unknown,4,Unknown Worker,VIOLATION,No Helmet detected,No Vest detected
2026-05-07 23:54:44,Unknown,3,Unknown Worker,VIOLATION,No Helmet detected,Vest detected
2026-05-07 23:54:44,Unknown,1,Unknown Worker,VIOLATION,No Helmet detected,No Vest detected
2026-05-07 23:54:47,1,2,Worker_001,VIOLATION,No Helmet detected,Vest worn correctly
2026-05-07 23:54:49,Unknown,1,Unknown Worker,VIOLATION,No Helmet detected,Vest worn correctly
2026-05-07 23:54:52,1,1,Worker_001,VIOLATION,No Helmet detected,Vest worn correctly
2026-05-07 23:54:52,Unknown,2,Unknown Worker,VIOLATION,No Helmet detected,Vest worn correctly
2026-05-07 23:54:55,Unknown,3,Unknown Worker,VIOLATION,No Helmet detected,Vest worn correctly
